자치구,시점,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인이상가구,총 가구수,1인가구 비율,2인가구 비율,3인가구 비율,4인가구 비율,5인가구 비율,6인가구 비율,7인가구이상 비율
마포구,2021,67162,41507,29279,20839,4323,771,199,164080,0.40932471964895173,0.25296806435884933,0.17844344222330571,0.12700511945392493,0.026346903949293028,0.00469892735251097,0.0012128230131643102
양천구,2017,33088,39456,41391,37771,8261,1660,418,162045,0.20419019408189082,0.24348792002221606,0.2554290474868092,0.23308957388379772,0.050979666142121016,0.010244068005800858,0.0025795303773643126
양천구,2018,34304,40185,41534,36359,7768,1502,387,162039,0.21170212109430445,0.24799585285023976,0.256321009139775,0.2243842531736187,0.04793907639518881,0.009269373422447682,0.002388313924425601
양천구,2019,36345,41435,40897,35189,7272,1393,336,162867,0.22315754572749544,0.2544100400940645,0.2511067312592483,0.21605972971811355,0.0446499290832397,0.008552991090890113,0.002063033026948369
양천구,2020,39436,43102,40503,34789,6743,1195,276,166044,0.2375033123750331,0.25958179759581795,0.2439293199392932,0.20951675459516755,0.04060971790609718,0.007196887571968876,0.0016622100166221
양천구,2021,42973,44552,39742,33570,6269,1036,213,168355,0.25525229425915474,0.26463128508211814,0.23606070505776483,0.19940007721778386,0.03723679130408957,0.006153663389860711,0.0012651836892281193
강서구,2017,68237,59781,50963,40778,9470,1974,536,231739,0.2944562632962082,0.2579669369419908,0.21991550839522048,0.17596520223182113,0.04086493857313616,0.008518203668782552,0.0023129468928406527
강서구,2018,73011,62155,50204,39017,9061,1807,499,235754,0.30969145804525056,0.2636434588596588,0.21295078768546874,0.16549878262935094,0.038434130491953475,0.007664769208581826,0.0021166130797356567
강서구,2019,79371,63517,49322,37325,8458,1707,435,240135,0.3305265787994253,0.26450538238907284,0.20539279988339892,0.1554334020446832,0.035221854373581524,0.007108501467924293,0.0018114810419139235
강서구,2020,86172,65175,47721,35598,7673,1416,342,244097,0.35302359307980025,0.2670045105019726,0.19550014953071934,0.14583546704793587,0.03143422491878229,0.00580097256418555,0.001401082356604137
강서구,2021,94436,66584,46552,33833,7019,1280,280,249984,0.37776817716333844,0.2663530465949821,0.1862199180747568,0.13534066180235535,0.028077796979006656,0.005120327700972862,0.0011200716845878136
