,자치구별(2),시점,연령별(2),남자,여자
566,중랑구,2017,70~74세,789,1866
567,중랑구,2017,75~79세,598,1727
568,중랑구,2017,80~84세,252,1004
569,중랑구,2017,85세이상,137,637
570,중랑구,2018,20세미만,63,104
571,중랑구,2018,20~24세,621,1149
572,중랑구,2018,25~29세,2311,2456
573,중랑구,2018,30~34세,2694,2027
574,중랑구,2018,35~39세,2675,1737
575,중랑구,2018,40~44세,2112,1354
576,중랑구,2018,45~49세,2764,1608
577,중랑구,2018,50~54세,2907,1716
578,중랑구,2018,55~59세,2927,2238
579,중랑구,2018,60~64세,2354,2450
580,중랑구,2018,65~69세,1350,2018
581,중랑구,2018,70~74세,848,1998
582,중랑구,2018,75~79세,634,1850
583,중랑구,2018,80~84세,311,1096
584,중랑구,2018,85세이상,140,695
585,중랑구,2019,20세미만,90,111
586,중랑구,2019,20~24세,702,1342
587,중랑구,2019,25~29세,2667,2937
588,중랑구,2019,30~34세,2908,2218
589,중랑구,2019,35~39세,2639,1769
590,중랑구,2019,40~44세,2051,1380
591,중랑구,2019,45~49세,2663,1583
592,중랑구,2019,50~54세,2944,1701
593,중랑구,2019,55~59세,3134,2266
594,중랑구,2019,60~64세,2506,2708
595,중랑구,2019,65~69세,1544,2143
596,중랑구,2019,70~74세,975,2123
597,중랑구,2019,75~79세,658,1886
598,중랑구,2019,80~84세,343,1248
599,중랑구,2019,85세이상,164,793
600,중랑구,2020,20세미만,82,124
601,중랑구,2020,20~24세,768,1593
602,중랑구,2020,25~29세,3088,3489
603,중랑구,2020,30~34세,3290,2550
604,중랑구,2020,35~39세,2661,1890
605,중랑구,2020,40~44세,2226,1508
606,중랑구,2020,45~49세,2616,1554
607,중랑구,2020,50~54세,3011,1727
608,중랑구,2020,55~59세,3284,2230
609,중랑구,2020,60~64세,2764,2870
610,중랑구,2020,65~69세,1863,2535
611,중랑구,2020,70~74세,1108,2254
612,중랑구,2020,75~79세,734,1979
613,중랑구,2020,80~84세,386,1331
614,중랑구,2020,85세이상,187,903
615,중랑구,2021,20세미만,67,102
616,중랑구,2021,20~24세,849,1716
617,중랑구,2021,25~29세,3267,3973
618,중랑구,2021,30~34세,3574,2891
619,중랑구,2021,35~39세,2806,1947
620,중랑구,2021,40~44세,2373,1648
621,중랑구,2021,45~49세,2455,1603
622,중랑구,2021,50~54세,3103,1814
623,중랑구,2021,55~59세,3354,2181
624,중랑구,2021,60~64세,3107,3102
625,중랑구,2021,65~69세,2167,2834
626,중랑구,2021,70~74세,1222,2356
627,중랑구,2021,75~79세,774,2072
628,중랑구,2021,80~84세,461,1472
629,중랑구,2021,85세이상,233,964
630,성북구,2016,20세미만,587,1093
631,성북구,2016,20~24세,3642,6272
632,성북구,2016,25~29세,4544,3806
633,성북구,2016,30~34세,2862,2234
634,성북구,2016,35~39세,2135,1442
635,성북구,2016,40~44세,1884,1403
636,성북구,2016,45~49세,2046,1353
637,성북구,2016,50~54세,1713,1311
638,성북구,2016,55~59세,1594,1651
639,성북구,2016,60~64세,1232,1791
640,성북구,2016,65~69세,845,1729
641,성북구,2016,70~74세,656,1888
642,성북구,2016,75~79세,481,1755
643,성북구,2016,80~84세,238,1118
644,성북구,2016,85세이상,156,656
645,성북구,2017,20세미만,537,977
646,성북구,2017,20~24세,3590,6225
647,성북구,2017,25~29세,4552,3778
648,성북구,2017,30~34세,2819,2157
649,성북구,2017,35~39세,2086,1574
650,성북구,2017,40~44세,1765,1355
651,성북구,2017,45~49세,2006,1444
652,성북구,2017,50~54세,1658,1247
653,성북구,2017,55~59세,1720,1660
654,성북구,2017,60~64세,1293,1874
655,성북구,2017,65~69세,870,1740
656,성북구,2017,70~74세,672,1874
657,성북구,2017,75~79세,534,1845
658,성북구,2017,80~84세,284,1207
659,성북구,2017,85세이상,174,726
660,성북구,2018,20세미만,510,1106
661,성북구,2018,20~24세,3628,6516
662,성북구,2018,25~29세,4655,3823
663,성북구,2018,30~34세,2758,2119
664,성북구,2018,35~39세,2084,1579
665,성북구,2018,40~44세,1603,1240
666,성북구,2018,45~49세,1966,1502
667,성북구,2018,50~54세,1728,1219
668,성북구,2018,55~59세,1727,1578
669,성북구,2018,60~64세,1441,1984
670,성북구,2018,65~69세,918,1763
671,성북구,2018,70~74세,712,1943
672,성북구,2018,75~79세,539,1894
673,성북구,2018,80~84세,314,1312
674,성북구,2018,85세이상,194,781
675,성북구,2019,20세미만,447,908
676,성북구,2019,20~24세,3753,6855
677,성북구,2019,25~29세,5134,4257
678,성북구,2019,30~34세,2964,2197
679,성북구,2019,35~39세,2179,1631
680,성북구,2019,40~44세,1666,1272
681,성북구,2019,45~49세,1990,1523
682,성북구,2019,50~54세,1854,1271
683,성북구,2019,55~59세,1765,1632
684,성북구,2019,60~64세,1537,2061
685,성북구,2019,65~69세,977,1796
686,성북구,2019,70~74세,746,2033
687,성북구,2019,75~79세,553,1933
688,성북구,2019,80~84세,345,1427
689,성북구,2019,85세이상,221,905
690,성북구,2020,20세미만,640,1291
691,성북구,2020,20~24세,3803,7468
692,성북구,2020,25~29세,5118,4578
693,성북구,2020,30~34세,3275,2388
694,성북구,2020,35~39세,2196,1775
695,성북구,2020,40~44세,1757,1410
696,성북구,2020,45~49세,1928,1482
697,성북구,2020,50~54세,1984,1395
698,성북구,2020,55~59세,1786,1549
699,성북구,2020,60~64세,1693,2223
700,성북구,2020,65~69세,1094,2066
701,성북구,2020,70~74세,779,2103
702,성북구,2020,75~79세,574,2000
703,성북구,2020,80~84세,360,1538
704,성북구,2020,85세이상,242,1015
705,성북구,2021,20세미만,451,945
706,성북구,2021,20~24세,3902,7410
707,성북구,2021,25~29세,5644,5110
708,성북구,2021,30~34세,3635,2738
709,성북구,2021,35~39세,2424,1883
710,성북구,2021,40~44세,1913,1530
711,성북구,2021,45~49세,1919,1520
712,성북구,2021,50~54세,2086,1515
713,성북구,2021,55~59세,1719,1577
714,성북구,2021,60~64세,1853,2356
715,성북구,2021,65~69세,1303,2286
716,성북구,2021,70~74세,830,2160
717,성북구,2021,75~79세,612,2073
718,성북구,2021,80~84세,450,1651
719,성북구,2021,85세이상,277,1213
720,강북구,2016,20세미만,56,143
