자치구,시점,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상,전체인구수,청년층,청년층비율,중년층,중년층비율,노년층,노년층비율
강서구,2018,270,3526,11614,10521,7969,5481,5219,4236,5176,5512,4042,3450,2825,1875,1295,73011,33900,0.4643135965813371,20112,0.27546534083905166,18999,0.2602210625796113
강서구,2019,325,4108,13600,11648,8271,5633,5369,4560,5115,5906,4447,3815,2984,2097,1493,79371,37952,0.47815952929911426,20677,0.2605107658968641,20742,0.2613297048040216
강서구,2020,336,4442,15643,13177,8898,5919,5333,4775,5080,6275,5142,4101,3138,2226,1687,86172,42496,0.4931532284268672,21107,0.24494035185443067,22569,0.26190641971870215
강서구,2021,252,4754,17660,15371,9413,6507,5508,5121,5118,6609,6023,4356,3357,2528,1859,94436,47450,0.5024566902452454,22254,0.23565165826591555,24732,0.26189165148883903
구로구,2017,203,2113,5707,5515,4323,3503,3527,3058,3516,3153,2523,2155,1886,1177,625,42984,17861,0.4155267076121347,13604,0.3164898566908617,11519,0.26798343569700356
구로구,2018,236,2184,6136,5425,4288,3324,3623,3040,3528,3406,2629,2328,1970,1311,723,44151,18269,0.4137845122420783,13515,0.30610858191207446,12367,0.2801069058458472
구로구,2019,232,2609,7184,5957,4424,3317,3687,3283,3553,3699,2833,2616,2066,1466,814,47740,20406,0.42744030163385,13840,0.2899036447423544,13494,0.28265605362379553
구로구,2020,232,2675,7671,6607,4631,3457,3812,3447,3668,3952,3271,2785,2187,1610,966,50971,21816,0.42800808302760396,14384,0.2821996821722156,14771,0.2897922348001805
구로구,2021,184,2874,8488,7517,4837,3657,3748,3675,3765,4265,3728,2989,2373,1752,1128,54980,23900,0.4347035285558385,14845,0.27000727537286284,16235,0.29528919607129867
금천구,2017,102,1367,4316,4092,2832,2443,2971,2965,3186,2612,1950,1547,1368,767,410,32928,12709,0.38596331389698735,11565,0.35122084548104954,8654,0.26281584062196306
금천구,2018,104,1552,5105,4131,3075,2382,2837,2927,3257,2787,2079,1624,1450,815,439,34564,13967,0.40409096169424835,11403,0.32990973266982987,9194,0.2659993056359218
금천구,2019,138,1881,6120,4790,3370,2326,2887,2966,3339,3048,2186,1762,1531,923,511,37778,16299,0.4314415797554132,11518,0.30488644184445973,9961,0.26367197840012707
금천구,2020,139,2288,7518,5718,3615,2607,2842,3178,3427,3383,2470,1957,1565,1006,621,42334,19278,0.45537865545424483,12054,0.28473567345396134,11002,0.25988567109179384
