자치구,시점,단독주택,아파트,연립주택,다세대주택,비거주용건물내,총 합,단독주택 비율,아파트 비율,연립주택 비율,다세대주택 비율,비거주용건물내 비율
은평구,2020,14937,59438,5830,69210,1243,150658,0.09914508356675383,0.3945226937832707,0.03869691619429436,0.4593848318708598,0.008250474584821251
은평구,2021,14627,64712,5842,70307,1222,156710,0.09333801289005168,0.4129411013974858,0.03727905047540042,0.448643992087295,0.0077978431497670855
서대문구,2017,13939,47445,5630,26418,966,94398,0.1476620267378546,0.5026059874149876,0.0596410940909765,0.27985762410220555,0.01023326765397572
서대문구,2018,13378,48277,5486,26783,960,94884,0.1409932127650605,0.5088002192150415,0.05781796720205725,0.28227098351671515,0.010117617301125585
서대문구,2019,12958,50747,5477,27489,945,97616,0.13274463202753647,0.5198635469595149,0.05610760531060482,0.2816034256679233,0.009680790034420586
서대문구,2020,12600,54132,5461,27910,933,101036,0.12470802486242527,0.5357694287184765,0.05405004156934162,0.27623817253256266,0.009234332317193871
서대문구,2021,12356,55231,5440,28094,903,102024,0.12110875872343763,0.5413530149768682,0.053320787265741396,0.275366580412452,0.008850858621500823
마포구,2017,12607,66349,3464,34356,1579,118355,0.10651852477715348,0.5605931308351992,0.02926788052891724,0.2902792446453466,0.013341219213383465
마포구,2018,12225,66582,3227,35003,1582,118619,0.10306106104418347,0.561309739586407,0.027204747974607778,0.29508763351570994,0.013336817879091882
마포구,2019,11854,68111,3165,34577,1591,119298,0.099364616338916,0.5709316166239166,0.026530201679826986,0.28983721437073545,0.013336350986604972
마포구,2020,11618,70307,3142,35643,1601,122311,0.09498736826614124,0.5748215614294708,0.025688613452592164,0.29141287373989255,0.013089583111903263
마포구,2021,11171,73836,3127,36364,1507,126005,0.08865521209475814,0.585976746954486,0.02481647553668505,0.28859172255069243,0.011959842863378438
